english_title,japanese_title,producer,serial,date,category
Yam Yam,ヤムヤム,バンダイ / パンドラボックス / Bandai / Pandora Box,SHVC-AYMJ-JPN,1995-02-17,Action / RPG
Fighter's History 2 - Mizoguchi Kiki Ippatsu,ファイターズヒストリー 溝口危機一髪！！,データイースト / Data East,SHVC-AF3J-JPN,1995-02-17,Fighting
Shigetaka Kashiwagi no Top Water Bassing,柏木重孝の トップ ウォーター バッシング,バップ / VAP (NTV),SHVC-AVFJ-JPN,1995-02-17,Sports / Fishing (釣り)
Time Cop,タイムコップ,"ビクターエンタテインメント / Victor Entertainment / Largo, Cryo",SHVC-ATCJ-JPN / SNS-ATCE-USA,1995-02-17,Action / Platformer
The Chessmaster,チェスマスター,アルトロン / Altron / The Software Toolworks,SHVC-CH / SNS-CH,1995-02-17 / 1991-09-01,Table Game / Chess
Gindama Oyakata no Pachinko Hisshouhou,銀玉親方の実戦パチンコ必勝法,サミー / Sammy,SHVC-AJPJ-JPN,1995-02-17,Gambling / Pachinko
Majin Tensei 2 - Spiral Nemesis,魔神転生II スパイラルネメシス,アトラス / Atlus,SHVC-AZ2J-JPN,1995-02-19,Strategy / RPG
From TV Animation Slam Dunk 2 - IH Yosen Kanzenban!!,テレビアニメ・スラムダンク2 インターハイ IH予選完全版！！,バンダイ / Bandai,SHVC-ASLJ-JPN,1995-02-24,Sports / Basketball
Bishoujo Senshi Sailor Moon S - Kurukku-rin,美少女戦士セーラームーンS くるっくりん,バンダイ/トムクリエイト / Bandai / Tom Create,SHVC-AILJ-JPN,1995-02-24,Puzzle / Matching
Jikkyou Powerful Pro Yakyuu 2,実況パワフルプロ野球2,コナミ / Konami,SHVC-AP2J-JPN,1995-02-24,Sports / Baseball
Front Mission,フロントミッション,スクウェア / ジークラフト / Square / G-Craft,SHVC-AGCJ-JPN,1995-02-24,Strategy / RPG
Estpolis Denki II,エストポリス伝記II,タイトー / ネバーランド / Taito / Neverland,SHVC-ANIJ-JPN / SNS-ANIE-USA,1995-02-24,RPG / Turn Based
Battle Pinball,バトルピンボール,バンプレスト / Banpresto,SHVC-ABPJ-JPN,1995-02-24,Arcade / Pinball
Farland Story,ファーランドストーリー,バンプレスト / テイジイエル / Banpresto / Technical Group Laboratory,SHVC-AFSJ-JPN,1995-02-24,Strategy
Classic Road 2,クラシックロードII,ビクターエンタテインメント / イスコ / プログレス / Victor Entertainment / ISCO / Progress,SHVC-AV5J-JPN,1995-02-24,Sports / Horse Racing (競馬)
Drift King Shutokou Battle 2 - Tsuchiya Keiichi & Bandou Masaaki,ドリフトキング 土屋圭市＆坂東正明 首都高バトル2,ビー・ピー・エス / 元気 / Bullet-Proof Software / Genki,SHVC-ASXJ-JPN,1995-02-24,Sports / Street Racing (競馬)
Shougi Club,本格派対局将棋 将棋倶楽部,ヘクト / 夏システム / Hector / Natsu-System,SHVC-AHEJ-JPN,1995-02-24,Table Game / Shougi
NBA Jam Tournament Edition,NBA ジャム トーナメントエディション,アクレイムジャパン / Acclaim Japan / Iguana Entertainment / Midway,SHVC-AJTJ-JPN / SNS-AJTE-USA,1995-02-24 / 1995-02-23,Sports / Basketball
NFL Quarterback Club '95,クォーターバッククラブ'95,"アクレイムジャパン / Acclaim Japan / Ljn, Iguana Entertainment",SHVC-Q9 / SNS-Q9,1995-02-24,Sports / Football
Turf Memories,ターフメモリーズ,ベック / Interbec,SHVC-AYZJ-JPN,1995-02-24,Sports / Horse Racing (競馬)
Nage Libre - Seijaku no Suishin,ナージュリーブル 〜静寂の水深〜,バリエ / Varie,SHVC-ANSJ-JPN,1995-02-24,RPG
Super Drift Out,スーパードリフトアウト,ビスコ / VISCO,SHVC-ADOJ-JPN,1995-02-24,Sports / Off Road Racing (競馬)
Heiwa Pachinko World,平和 パチンコワールド,ショウエイシステム / Shouei System,SHVC-AHWJ-JPN,1995-02-24,Gambling / Pachinko
Otoboke Ninja Colosseum,おとぼけ忍者コロシアム,インテック / ミント / Intec / Mint,SHVC-AOCJ-JPN,1995-02-25,Puzzle / Bomberman
Eien no Filerna,永遠のフィレーナ,徳間ジャパンコミュニケーションズ / 徳間書店インターメディア / Tokuma Japan Communications / Tokuma Shoten Intermedia,SHVC-AFLJ-JPN,1995-02-25,RPG
Super Bomberman Panic Bomber World,スーパーボンバーマン ぱにっくボンバーワールド,ハドソン / Hudson,SHVC-APBJ-JPN,1995-03-01,Puzzle / Matching
Super Air Diver 2,スーパーエアダイバー2,アスミック / Asmik,SHVC-AADJ-JPN,1995-03-03,Shooter / Behind
Super Famista 4,スーパーファミスタ4,ナムコ / Namcot,SHVC-AF4J-JPN,1995-03-03,Sports / Baseball
Undercover Cops,アンダーカバーコップス,バリエ / アイレム / Varie / IREM,SHVC-AUCJ-JPN,1995-03-03,Action / Beat 'em Up
Last Bible III,ラストバイブルIII,アトラス / マルチメディア インテリジェンス トランスファー（ミット） / Atlus / Multimedia Intelligence Transfer (MIT),SHVC-ALBJ-JPN,1995-03-04,RPG / Turn Based
Super Mad Champ,スーパーマッドチャンプ,ツクダオリジナル / Tsukuda Original,SHVC-ACHJ-JPN,1995-03-04,Sports / Racing (競馬)
Magical Pop'n,マジカルポップン,パック・イン・ビデオ / Pack-in-Video / Polestar,SHVC-AIAJ-JPN,1995-03-10,Action / Platformer
J League Super Soccer '95 - Jikkyou Stadium,Jリーグ スーパーサッカー 実況スタジアム,ハドソン / Hudson,SHVC-AJSJ-JPN,1995-03-17,Sports / Soccer
Captain Commando,キャプテンコマンドー,カプコン / Capcom,SHVC-QM / SNS-QM,1995-03-17 / 1995-08-01,Action / Beat 'em Up
Dai 4 Ji Super Robot Taisen,第4次 スーパーロボット大戦,バンプレスト / ウィンキーソフト / Banpresto / winkysoft,SHVC-AR4J-JPN,1995-03-17,Strategy
Nekketsu Tairiku Burning Heroes,熱血大陸 バーニング ヒーローズ,エニックス / ジェイフォース / Enix / J-Force,SHVC-AEBJ-JPN,1995-03-17,RPG
Super Jangou,スーパー雀豪,ビクターエンタテインメント / Victor Entertainment / Orpheck,SHVC-AJ4J-JPN,1995-03-17,Table Game
The Amazing Spider-Man - Lethal Foes,スパイダーマン リーサルフォーズ,エポック社 / Epoch,SHVC-ASPJ-JPN,1995-03-17,Action / Beat 'em Up
Makeruna! Makendou 2: Kimero Youkai Souri,負けるな！魔剣道2 決めろ！妖怪総理大臣,データム・ポリスター / Datam Polystar,SHVC-AM2J-JPN,1995-03-17,Fighting / Hand To Hand
Love Quest,ラブクエスト,徳間ジャパンコミュニケーションズ / 徳間書店インターメディア / Tokuma Japan Communications / Tokuma Shoten Intermedia,SHVC-ALQJ-JPN,1995-03-17,RPG
Sprinter Monogatari - Mezase! Ikkaku Senkin!!,スプリンター物語 〜めざせ！一攫千金〜,バップ / VAP (NTV),SHVC-AKGJ-JPN,1995-03-17,Sports / Bike Racing (競馬)
Super Bombliss,スーパーボンブリス,ビー・ピー・エス / Bullet-Proof Software / Elorg,SHVC-ABOJ-JPN,1995-03-17,Puzzle
Oraga Land Shusai: Best Farmer Shuukaku Sai,おらがランド主催 ベストファーマー収穫祭,ビック東海 / Vic Tokai / Nitto,SHVC-ACUJ-JPN,1995-03-17,Puzzle / Other
Super Pinball II - The Amazing Odyssey,スーパーピンボール2 ザ・アメイジング・オデッセイ,メルダック / カゼ / Meldac / Kaze,SHVC-APLJ-JPN,1995-03-17,Simulation / Pinball
Battle Racers,バトルレーサーズ,バンプレスト / Banpresto,SHVC-ACRJ-JPN,1995-03-17,Sports / Racing (競馬)
Winning Post 2,ウイニングポスト2,光栄 / Koei,SHVC-AWPJ-JPN,1995-03-18,Sports / Horse Racing (競馬)
Turf Hero,ターフヒーロー,テクモ / Tecmo,SHVC-ATUJ-JPN,1995-03-21,Sports / Horse Racing (競馬)
Dragon Ball Z - Super Gokuu Den - Totsugeki Hen,ドラゴンボールZ 超悟空伝 突撃編,バンダイ / Bandai,SHVC-AZ5J-JPN,1995-03-24,RPG
Yuu Yuu Hakusho Final - Makai Saikyou Retsuden,幽☆遊☆白書 FIANL(ファイナル) 魔界最強列伝,ナムコ / Namcot,SHVC-AY3J-JPN,1995-03-24,Fighting / Hand To Hand
Rockman 7 - Shukumei no Taiketsu!,ロックマン7 宿命の対決！,カプコン / Capcom,SHVC-A7RJ-JPN / SNS-A7RE-USA,1995-03-24,Action / Platformer
Hissatsu Pachinko Collection 2,必殺パチンココレクション2,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-A2HJ-JPN,1995-03-24,Gambling / Pachinko
Super Baken Ou '95,スーパー馬券王'95,テイチク / アスミック / Teichiku / Asmik,SHVC-A4TJ-JPN,1995-03-24,Sports / Racing (競馬)
The Atlas Renaissance Voyager,ジ・アトラス,パック・イン・ビデオ / アートディンク / Pack-in-Video / Artdink,SHVC-AATJ-JPN,1995-03-24,Strategy
Kousoku Shikou Shougiou,高速思考 将棋皇,イマジニア / Imagineer,SHVC-ASGJ-JPN,1995-03-24,Table Game / Shougi
EMIT Vol. 1 - Toki no Maigo,エミット Vol.1 時の迷子,光栄 / Koei,SHVC-AEMJ-JPN,1995-03-25,Etc / Educational (教育)
EMIT Vol. 2 - Inochigake no Tabi,エミット Vol.2 命がけの旅,光栄 / Koei,SHVC-AEIJ-JPN,1995-03-25,Etc / Educational (教育)
EMIT Vol. 3 - Watashi ni Sayonara wo,エミット Vol.3 私にさよならを,光栄 / Koei,SHVC-AETJ-JPN,1995-03-25,Etc / Educational (教育)
Kyoraku Sanyo Toyomaru Parlor! Parlor!,京楽 三洋 豊丸 Parlor ! パーラー！ パチンコ3社・実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-APXJ-JPN,1995-03-30,Gambling / Pachinko
RPG Tsukuru Super Dante,RPGツクール スーパーダンテ,アスキー / 空想科学 / ASCII / Kuusoukagaku,SHVC-ARDJ-JPN,1995-03-31,RPG / Etc
Super Formation Soccer 95 - della Series A,スーパーフォーメーションサッカー'95 デッラ セリエA,ヒューマン / Human,SHVC-A95J-JPN,1995-03-31,Sports / Soccer
Mickey Mania - The Timeless Adventures of Mickey Mouse,ミッキーマニア,カプコン / ソニーイメージソフト / トラベラーズテール / Capcom / Sony Imagesoft / Travellers Tales,SHVC-AMIJ-JPN / SNS-AMIE-USA,1995-03-31,Action / Side Scrolling
Esparks - Ijikuu Kara no Raihousha,エスパークス 異次空からの来訪者,トミー / Tomy,SHVC-EP,1995-03-31,Action / RPG
Monopoly Game 2,ザ・モノポリーゲーム2,"トミー / エイプ, トムキャットシステム / トンカ / Tomy / APE, Tomcat System / Tonka",SHVC-AMLJ-JPN,1995-03-31,Table Game
Habu Meijin no Omoshiro Shougi,羽生名人のおもしろ将棋,トミー / サムシンググッド / Tomy / Something Good,SHVC-IL,1995-03-31,Table Game / Shougi
Kyuuyaku Megami Tensei,旧約・女神転生 女神転生I 女神転生II,アトラス / イスコ / ナムコ / Atlus / ISCO / Namco,SHVC-AKMJ-JPN,1995-03-31,RPG
Deae Tonosama Appare Ichiban,であえ殿さま あっぱれ一番,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-ADTJ-JPN,1995-03-31,Action / Shooter
Kindai Mahjong Special,近代麻雀スペシャル,イマジニア / アウトバック / Imagineer / Outback,SHVC-AKJJ-JPN,1995-03-31,Table Game / Mahjong
Shijou Saikyou League Serie A - Ace Striker,史上最強リーグ セリエA エースストライカー,ティー・エヌ・エヌ / TNN,SHVC-ATXJ-JPN,1995-03-31,Sports / Soccer
Saikousoku Shikou Shougi Mahjong,最高速思考 将棋麻雀,バリエ / Varie,SHVC-ASYJ-JPN,1995-03-31,Table Game / Shougi
Lady Stalker - Kako kara no Chousen,レディストーカー 〜過去からの挑戦〜,タイトー / クライマックス / Taito / Climax,SHVC-ALSJ-JPN,1995-04-01,Action / RPG
Zen Nippon Pro-Wrestling 2 - 3-4 Budoukan,全日本プロレス2 3・4武道館,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-APRJ-JPN,1995-04-07,Sports / Wrestling
Puzzle'n Desu!,ぱずるんでス！,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-ASUJ-JPN,1995-04-14,Puzzle
Res Arcana - Diana Ray - Uranai no Meikyuu,レース アルカーナ ディアーナ・レイ 占いの迷宮,ココナッツジャパン エンターテイメント / Coconuts Japan Entertainment,SHVC-ARAJ-JPN,1995-04-14,Strategy / Simulation (占い)
Marmalade Boy,ママレード・ボーイ,バンダイ / 空想科学 / Bandai / Kuusoukagaku,SHVC-AMNJ-JPN,1995-04-21,Strategy
Mahoujin Guru Guru,魔法陣グルグル,エニックス / タムタム / Enix / TamTam,SHVC-AGUJ-JPN,1995-04-21,RPG
Tactical Soccer,タクティカル・サッカー,エレクトロニック・アーツ・ビクター / Electronic Arts Victor,SHVC-AZZJ-JPN,1995-04-21,Sports / Soccer
Natsuki Crisis Battle,なつきクライシスバトル,"エンジェル, 集英社 / Angel, Shueisha",SHVC-ACBJ-JPN,1995-04-21,Fighting / Hand To Hand
La Wares,ラ・ワース (真・聖刻),ユタカ / Yutaka,SHVC-A8YJ-JPN,1995-04-21,RPG
Shin SD Sengokuden - Daishougun Retsuden,新SD戦国伝 大将軍列伝,ベック / Interbec,SHVC-ARMJ-JPN,1995-04-21,Strategy / RPG
Super Real Mahjong PV - Paradise - All-Star 4 Nin Uchi,スーパーリアル麻雀PV パラダイス オールスター4人打ち,セタ / Seta,SHVC-A5PJ-JPN,1995-04-21,Table Game / Mahjong
Rejoice! Aretha Oukoku no Kanata,アレサ外伝 リジョイス アレサ王国の彼方,やのまん / 日本アートメディア / Yanoman / Japan Art Media (JAM),SHVC-AYRJ-JPN,1995-04-21,Action / RPG
Miyaji Shachou no Pachinko Fan - Shouri Sengen 2,宮路社長のパチンコファン勝利宣言2,プランニングオフィスワダ（パウ） / Planning Office WADA (POW),SHVC-AFAJ-JPN,1995-04-21,Gambling / Pachinko
Super Trump Collection,スーパートランプコレクション,ボトムアップ / Bottom Up,SHVC-AT7J-JPN,1995-04-21,Table Game / Cards
Super Bomberman 3,スーパーボンバーマン3,ハドソン / Hudson,SHVC-AS6J-JPN,1995-04-28,Puzzle / Bomberman
Super Pachinko Taisen,スーパーパチンコ大戦,バンプレスト / Banpresto,SHVC-ADXJ-JPN,1995-04-28,Gambling / Pachinko
Haisei Mahjong Ryouga,牌勢麻雀 凌駕,アスキー / ASCII,SHVC-AMJJ-JPN,1995-04-28,Table Game / Mahjong
Planet's Champ TG3000,プラネットチャンプTG3000,ケムコ（コトブキシステム） / Kemco / Gremlin Interactive,SHVC-A3TJ-JPN / SNS-A3TE-USA,1995-04-28,Sports / Street Racing (競馬)
J. League Excite Stage '95,Jリーグエキサイトステージ'95,エポック社 / 小学館プロダクション / Epoch / Shogakukan Production,SHVC-AJ2J-JPN,1995-04-28,Sports / Soccer
Kawa no Nushi Tsuri 2,川のぬし釣り2,パック・イン・ビデオ / Pack-in-Video,SHVC-AKNJ-JPN,1995-04-28,RPG / Fishing (釣り)
Simulation Pro Yakyuu,シミュレーション プロ野球,ヘクト / hector,SHVC-AHAJ-JPN,1995-04-28,Sports / Baseball
True Lies,トゥルーライズ,アクレイムジャパン / Acclaim Japan / Beam Software,SHVC-ATLJ-JPN / SNS-ATLE-USA,1995-04-28 / 1994-01-01,Shooter / First Person
3 Jigen Kakutou Ballz,3次元格闘ボールズ,メディアリング / Media Rings / PF.Magic,SHVC-ABZJ-JPN / SNS-ABZE-USA,1995-04-28 / 1995-04-27,Fighting
Tarot Mystery,タロットミステリー,ヴィジット / 浮世亭 / Visit / Ukiyotei,SHVC-AT5J-JPN,1995-04-28,Strategy / Simulation (占い)
Shodankurai Nintei: Shodan Pro Mahjong,初段位認定 初段プロ麻雀,ギャップス / GAPS,SHVC-A28J-JPN,1995-04-28,Table Game / Mahjong
Stone Protectors,ストーンプロテクターズ,ケムコ（コトブキシステム） / Kemco / Eurocom Entertainment,SHVC-ASOJ-JPN / SNS-ASOE-USA,1995-04-28 / 1994-11-01,Action
Snoopy Concert,スヌーピーコンサート,"三井不動産, 電通 / Mitsui Fudosan, Dentsu / United Feature Syndicate",SHVC-A3PJ-JPN,1995-05-19,Etc
Super Keiba 2,スーパー競馬2,アイマックス / トムキャットシステム / I'MAX / Tomcat System,SHVC-AKBJ-JPN,1995-05-19,Sports / Horse Racing (競馬)
Syndicate,シンジケート,エレクトロニック・アーツ・ビクター / Electronic Arts Victor / Bullfrog Productions,SHVC-AFYJ-JPN / SNS-AFYE-USA,1995-05-19 / 1995-01-01,Strategy
Battle Tycoon - Flash Hiders SFX,バトルタイクーン,ライトスタッフ / Right Stuff,SHVC-AFHJ-JPN,1995-05-19,Fighting
Sim City 2000,シムシティ2000,イマジニア / ハル研究所 / マクシス / Imagineer / HAL Laboratory / Maxis,SHVC-AWWJ-JPN / SNS-AWWE-USA,1995-05-26 / 1996-11-01,Strategy / Management
Super Nazo Puyo - Lulu no Luu,す〜ぱ〜なぞぷよ ルルーのルー,バンプレスト / コンパイル / Banpresto / Compile,SHVC-ANQJ-JPN,1995-05-26,Puzzle / Matching
Computer Nouryoku Kaiseki - Ultra Baken,コンピューター能力解析 ウルトラ馬券,カルチャーブレーン / Culture Brain,SHVC-AUBJ-JPN,1995-05-26,Sports / Horse Racing (競馬)
Ghoul Patrol,グールパトロール,ビクターエンタテインメント / ルーカスアーツ / Victor Entertainment / Lucas Arts,SHVC-AGJJ-JPN / SNS-AGJE-USA,1995-05-26 / 1994-01-01,Action
Nichibutsu Arcade Classics,ニチブツ アーケード クラシックス,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AACJ-JPN,1995-05-26,Arcade / Retro
Pachinko Renchan Tengoku - Super CR Special,パチンコ 連チャン天国 スーパーCRスペシャル,"バップ, パチンコ○秘情報編集部 / VAP (NTV)",SHVC-ALCJ-JPN,1995-05-26,Gambling / Pachinko
Hayazashi Nidan: Morita Shougi 2,早指し 二段 森田将棋2,セタ / ランダムハウス / Seta / Random House,SHVC-A2MJ-JPN,1995-05-26,Table Game / Shougi
Stargate,スターゲイト,アクレイムジャパン / Acclaim Japan / Probe Entertainment,SHVC-AGTJ-JPN / SNS-AGTE-USA,1995-05-26 / 1995-04-01,Action / Platformer
Warlock,ウォーロック,アクレイムジャパン / Acclaim Japan / Realtime Associates / Trimark Interactive,SHVC-AWKJ-JPN / SNS-AWKE-USA,1995-05-26 / 1994-01-01,Action
Spark World,スパーク・ワールド,デンズ（アイ・ティー・シー） / DEN'Z(ITC),SHVC-ADWJ-JPN,1995-05-26,Action
Shinzui Taikyoku Igo - Go Sennin,真髄対局囲碁 碁仙人,J・ウイング / ジョルダン / J-Wing / Jorudan,SHVC-AWGJ-JPN,1995-06-02,Table Game / Igo
Elfaria II - The Quest of the Meld,エルファリアII ザ・クエスト・オブ・ザ・メルド,ハドソン / レッド / Hudson / RED,SHVC-AEFJ-JPN,1995-06-09,RPG / Turn Based
Youkai Buster - Ruka no Daibouken,妖怪バスター ルカの大冒険,角川書店 / Kadokawa Digital Entertainment,SHVC-AYOJ-JPN,1995-06-09,Action / Side Scrolling
Honke Sankyo Fever - Jikki Simulation,本家SANKYO FEVER 実機シミュレーション,デンズ（アイ・ティー・シー） / 三共 / ティー・イー・エヌ / DEN'Z(ITC) / Sankyo / T・E・N,SHVC-AFPJ-JPN,1995-06-10,Gambling / Pachinko
Yakouchu,夜光虫,アテナ / Athena,SHVC-ADJJ-JPN,1995-06-16,Sound Novel
Jissen Kyoutei,実戦競艇,イマジニア / Imagineer,SHVC-AKOJ-JPN,1995-06-23,Sports / Boat Racing (競馬)
Mr. Do!,ミスタードゥ,イマジニア / Imagineer / Universal,SHVC-AUNJ-JPN / SNS-AUNE-USA,1995-06-23 / 1995-01-01,Action
P-Man,P・マン,ケムコ（コトブキシステム） / Kemco / Titus,SHVC-APUJ-JPN / SNS-APUE-USA,1995-06-23,Action / Side Scrolling
Earthworm Jim,アースワーム・ジム,"タカラ / Takara / Playmates Interactive Entertainment, Shiny Entertainment",SHVC-AEJJ-JPN / SNS-AEJE-USA,1995-06-23 / 1994-06-22,Action / Platformer
